// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\1075595d-dec0-4029-bd99-6ed5113e6ab0
// command took 0,9s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\1075595d-dec0-4029-bd99-6ed5113e6ab0
// command took 1,87s and exited with 0
// ***** Done, took 00:00:02 (2.87 sec)   *****
// Found 6 benchmarks:
//   TidyNumberBenchmark.Num1: DefaultJob [Number=1579]
//   TidyNumberBenchmark.Num2: DefaultJob [Number=1579]
//   TidyNumberBenchmark.Num1: DefaultJob [Number=12345]
//   TidyNumberBenchmark.Num2: DefaultJob [Number=12345]
//   TidyNumberBenchmark.Num1: DefaultJob [Number=123456789]
//   TidyNumberBenchmark.Num2: DefaultJob [Number=123456789]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Wysoka wydajność)
// **************************
// Benchmark: TidyNumberBenchmark.Num1: DefaultJob [Number=1579]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 1075595d-dec0-4029-bd99-6ed5113e6ab0.dll --benchmarkName "CodeWarts.Infrastructure.Implementations.TidyNumber.TidyNumberBenchmark.Num1(Number: 1579)" --job Default --benchmarkId 0 in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\1075595d-dec0-4029-bd99-6ed5113e6ab0\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.7 (6.0.722.32202), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 220000.00 ns, 220.0000 us/op
WorkloadJitting  1: 1 op, 559900.00 ns, 559.9000 us/op

OverheadJitting  2: 16 op, 316000.00 ns, 19.7500 us/op
WorkloadJitting  2: 16 op, 405400.00 ns, 25.3375 us/op

WorkloadPilot    1: 16 op, 6700.00 ns, 418.7500 ns/op
WorkloadPilot    2: 32 op, 6500.00 ns, 203.1250 ns/op
WorkloadPilot    3: 64 op, 7100.00 ns, 110.9375 ns/op
WorkloadPilot    4: 128 op, 11200.00 ns, 87.5000 ns/op
WorkloadPilot    5: 256 op, 19500.00 ns, 76.1719 ns/op
WorkloadPilot    6: 512 op, 56900.00 ns, 111.1328 ns/op
WorkloadPilot    7: 1024 op, 75200.00 ns, 73.4375 ns/op
WorkloadPilot    8: 2048 op, 164500.00 ns, 80.3223 ns/op
WorkloadPilot    9: 4096 op, 353200.00 ns, 86.2305 ns/op
WorkloadPilot   10: 8192 op, 1360300.00 ns, 166.0522 ns/op
WorkloadPilot   11: 16384 op, 1396700.00 ns, 85.2478 ns/op
WorkloadPilot   12: 32768 op, 2796600.00 ns, 85.3455 ns/op
WorkloadPilot   13: 65536 op, 6789800.00 ns, 103.6041 ns/op
WorkloadPilot   14: 131072 op, 10509500.00 ns, 80.1811 ns/op
WorkloadPilot   15: 262144 op, 21218700.00 ns, 80.9429 ns/op
