// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\cafa60d5-d6e5-433a-a7fe-4f75d8c507cd
// command took 0,86s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\cafa60d5-d6e5-433a-a7fe-4f75d8c507cd
// command took 2,3s and exited with 0
// ***** Done, took 00:00:03 (3.23 sec)   *****
// Found 3 benchmarks:
//   DeadFishBenchmark.Parse: DefaultJob
//   DeadFishBenchmark.ParseDictionary: DefaultJob
//   DeadFishBenchmark.ParseList: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Wysoka wydajność)
// **************************
// Benchmark: DeadFishBenchmark.Parse: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet cafa60d5-d6e5-433a-a7fe-4f75d8c507cd.dll --benchmarkName CodeWarts.Infrastructure.Implementations.DeadFishBenchmark.Parse --job Default --benchmarkId 0 in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\cafa60d5-d6e5-433a-a7fe-4f75d8c507cd\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.7 (6.0.722.32202), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 218200.00 ns, 218.2000 us/op
WorkloadJitting  1: 1 op, 673700.00 ns, 673.7000 us/op

OverheadJitting  2: 16 op, 478100.00 ns, 29.8813 us/op
WorkloadJitting  2: 16 op, 578500.00 ns, 36.1562 us/op

WorkloadPilot    1: 16 op, 5400.00 ns, 337.5000 ns/op
WorkloadPilot    2: 32 op, 9200.00 ns, 287.5000 ns/op
WorkloadPilot    3: 64 op, 15500.00 ns, 242.1875 ns/op
WorkloadPilot    4: 128 op, 17400.00 ns, 135.9375 ns/op
WorkloadPilot    5: 256 op, 34100.00 ns, 133.2031 ns/op
WorkloadPilot    6: 512 op, 93400.00 ns, 182.4219 ns/op
WorkloadPilot    7: 1024 op, 179100.00 ns, 174.9023 ns/op
WorkloadPilot    8: 2048 op, 243600.00 ns, 118.9453 ns/op
WorkloadPilot    9: 4096 op, 520400.00 ns, 127.0508 ns/op
WorkloadPilot   10: 8192 op, 1094600.00 ns, 133.6182 ns/op
WorkloadPilot   11: 16384 op, 2180800.00 ns, 133.1055 ns/op
WorkloadPilot   12: 32768 op, 4615700.00 ns, 140.8600 ns/op
WorkloadPilot   13: 65536 op, 8574100.00 ns, 130.8304 ns/op
WorkloadPilot   14: 131072 op, 16608300.00 ns, 126.7113 ns/op
WorkloadPilot   15: 262144 op, 33707400.00 ns, 128.5835 ns/op
WorkloadPilot   16: 524288 op, 65023800.00 ns, 124.0231 ns/op
WorkloadPilot   17: 1048576 op, 107367100.00 ns, 102.3932 ns/op
WorkloadPilot   18: 2097152 op, 217270200.00 ns, 103.6025 ns/op
WorkloadPilot   19: 4194304 op, 438084300.00 ns, 104.4474 ns/op
WorkloadPilot   20: 8388608 op, 876272300.00 ns, 104.4598 ns/op

OverheadWarmup   1: 8388608 op, 24252300.00 ns, 2.8911 ns/op
OverheadWarmup   2: 8388608 op, 25594900.00 ns, 3.0511 ns/op
OverheadWarmup   3: 8388608 op, 25398500.00 ns, 3.0277 ns/op
OverheadWarmup   4: 8388608 op, 24722900.00 ns, 2.9472 ns/op
OverheadWarmup   5: 8388608 op, 25113900.00 ns, 2.9938 ns/op
OverheadWarmup   6: 8388608 op, 26119900.00 ns, 3.1137 ns/op
OverheadWarmup   7: 8388608 op, 25812300.00 ns, 3.0771 ns/op

OverheadActual   1: 8388608 op, 25909300.00 ns, 3.0886 ns/op
OverheadActual   2: 8388608 op, 24586100.00 ns, 2.9309 ns/op
OverheadActual   3: 8388608 op, 26998800.00 ns, 3.2185 ns/op
OverheadActual   4: 8388608 op, 25897300.00 ns, 3.0872 ns/op
OverheadActual   5: 8388608 op, 27000700.00 ns, 3.2187 ns/op
OverheadActual   6: 8388608 op, 25534200.00 ns, 3.0439 ns/op
OverheadActual   7: 8388608 op, 24802300.00 ns, 2.9567 ns/op
OverheadActual   8: 8388608 op, 26182400.00 ns, 3.1212 ns/op
OverheadActual   9: 8388608 op, 25889800.00 ns, 3.0863 ns/op
OverheadActual  10: 8388608 op, 23481700.00 ns, 2.7992 ns/op
OverheadActual  11: 8388608 op, 23954900.00 ns, 2.8556 ns/op
OverheadActual  12: 8388608 op, 22935700.00 ns, 2.7341 ns/op
OverheadActual  13: 8388608 op, 22896000.00 ns, 2.7294 ns/op
OverheadActual  14: 8388608 op, 26190000.00 ns, 3.1221 ns/op
OverheadActual  15: 8388608 op, 24006300.00 ns, 2.8618 ns/op
OverheadActual  16: 8388608 op, 22976500.00 ns, 2.7390 ns/op
OverheadActual  17: 8388608 op, 23300500.00 ns, 2.7776 ns/op
OverheadActual  18: 8388608 op, 23406800.00 ns, 2.7903 ns/op
OverheadActual  19: 8388608 op, 22743000.00 ns, 2.7112 ns/op
OverheadActual  20: 8388608 op, 23661300.00 ns, 2.8206 ns/op

WorkloadWarmup   1: 8388608 op, 862636500.00 ns, 102.8343 ns/op
WorkloadWarmup   2: 8388608 op, 884955000.00 ns, 105.4949 ns/op
WorkloadWarmup   3: 8388608 op, 874012600.00 ns, 104.1904 ns/op
WorkloadWarmup   4: 8388608 op, 886677300.00 ns, 105.7002 ns/op
WorkloadWarmup   5: 8388608 op, 873666700.00 ns, 104.1492 ns/op
WorkloadWarmup   6: 8388608 op, 892369700.00 ns, 106.3788 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 876228100.00 ns, 104.4545 ns/op
WorkloadActual   2: 8388608 op, 882942500.00 ns, 105.2549 ns/op
WorkloadActual   3: 8388608 op, 900378400.00 ns, 107.3335 ns/op
WorkloadActual   4: 8388608 op, 902196000.00 ns, 107.5501 ns/op
WorkloadActual   5: 8388608 op, 910454800.00 ns, 108.5347 ns/op
WorkloadActual   6: 8388608 op, 869368300.00 ns, 103.6368 ns/op
WorkloadActual   7: 8388608 op, 912132900.00 ns, 108.7347 ns/op
WorkloadActual   8: 8388608 op, 895572000.00 ns, 106.7605 ns/op
WorkloadActual   9: 8388608 op, 903849300.00 ns, 107.7472 ns/op
WorkloadActual  10: 8388608 op, 908310600.00 ns, 108.2791 ns/op
WorkloadActual  11: 8388608 op, 905885900.00 ns, 107.9900 ns/op
WorkloadActual  12: 8388608 op, 883202200.00 ns, 105.2859 ns/op
WorkloadActual  13: 8388608 op, 987633600.00 ns, 117.7351 ns/op
WorkloadActual  14: 8388608 op, 944758800.00 ns, 112.6240 ns/op
WorkloadActual  15: 8388608 op, 970235400.00 ns, 115.6611 ns/op
WorkloadActual  16: 8388608 op, 909324200.00 ns, 108.3999 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 851931900.00 ns, 101.5582 ns/op
WorkloadResult   2: 8388608 op, 858646300.00 ns, 102.3586 ns/op
WorkloadResult   3: 8388608 op, 876082200.00 ns, 104.4371 ns/op
WorkloadResult   4: 8388608 op, 877899800.00 ns, 104.6538 ns/op
WorkloadResult   5: 8388608 op, 886158600.00 ns, 105.6383 ns/op
WorkloadResult   6: 8388608 op, 845072100.00 ns, 100.7404 ns/op
WorkloadResult   7: 8388608 op, 887836700.00 ns, 105.8384 ns/op
WorkloadResult   8: 8388608 op, 871275800.00 ns, 103.8642 ns/op
WorkloadResult   9: 8388608 op, 879553100.00 ns, 104.8509 ns/op
WorkloadResult  10: 8388608 op, 884014400.00 ns, 105.3827 ns/op
WorkloadResult  11: 8388608 op, 881589700.00 ns, 105.0937 ns/op
WorkloadResult  12: 8388608 op, 858906000.00 ns, 102.3896 ns/op
WorkloadResult  13: 8388608 op, 885028000.00 ns, 105.5036 ns/op

// AfterAll
// Benchmark Process 3716 has exited with code 0.

Mean = 104.024 ns, StdErr = 0.471 ns (0.45%), N = 13, StdDev = 1.700 ns
Min = 100.740 ns, Q1 = 102.390 ns, Median = 104.654 ns, Q3 = 105.383 ns, Max = 105.838 ns
IQR = 2.993 ns, LowerFence = 97.900 ns, UpperFence = 109.872 ns
ConfidenceInterval = [101.989 ns; 106.059 ns] (CI 99.9%), Margin = 2.035 ns (1.96% of Mean)
Skewness = -0.65, Kurtosis = 1.81, MValue = 2

// ** Remained 2 (66,7%) benchmark(s) to run. Estimated finish 2022-09-13 16:24 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Wysoka wydajność)
// **************************
// Benchmark: DeadFishBenchmark.ParseDictionary: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet cafa60d5-d6e5-433a-a7fe-4f75d8c507cd.dll --benchmarkName CodeWarts.Infrastructure.Implementations.DeadFishBenchmark.ParseDictionary --job Default --benchmarkId 1 in C:\Users\Karol Cichoń\RiderProjects\CodeWars\CodeWars\bin\Release\net6.0\cafa60d5-d6e5-433a-a7fe-4f75d8c507cd\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.7 (6.0.722.32202), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 227800.00 ns, 227.8000 us/op
WorkloadJitting  1: 1 op, 1971800.00 ns, 1.9718 ms/op

